sku_id,tier,shop,title,variant,price_usd,in_stock,landed_eur_est_8box_bundle,market_ask_us,market_sold_us,buy_below,watch_below,eu_ref_eur,status,restock,url,seen_at,match_score
PANINI_2023-24_SELECT_BLASTER,retail,columbia,2023/24 Panini Select Basketball 6-Pack Blaster Box (Flash Prizms),,49.95,0,64.46,,,45.0,55.0,,,0,https://columbiasportscard.com/products/2023-24-panini-select-basketball-6-pack-blaster-box-flash-prizms-1,2026-08-17T11:25:45+00:00,1.0
PANINI_2023-24_SELECT_MEGA,retail,rbicru7,"2023-24 Panini Select Basketball, Mega Box (BLUE & PINK CRACKED ICE)",,110.0,1,126.57,,,90.0,100.0,134.0,NO_GO,0,https://rbicru7.com/products/2023-24-panini-select-basketball-mega-box-releases-5-17,2026-08-17T11:25:45+00:00,1.0
PANINI_2023-24_SELECT_MEGA,retail,awesome,2023-24 Panini Select Basketball Mega Box (Green Shock Prizms ),,109.75,0,126.31,,,90.0,100.0,134.0,,0,https://theawesomecardshop.com/products/2023-24-panini-select-basketball-mega-box-green-shock-prizm,2026-08-17T11:25:45+00:00,1.0
PANINI_2023-24_MOSAIC_BLASTER,retail,rbicru7,"2023-24 Panini Mosaic Basketball Blaster, Box",,50.0,1,64.51,,,40.0,50.0,,WATCH,0,https://rbicru7.com/products/2023-24-panini-mosaic-basketball-blaster-box,2026-08-17T11:25:45+00:00,1.0
PANINI_2023-24_MOSAIC_BLASTER,retail,hiddengems,2023-24 Panini NBA Mosaic Blaster Box,,19.99,0,33.47,,,40.0,50.0,,,0,https://www.hiddengemscardshop.com/products/2023-24-panini-nba-mosaic-blaster-box,2026-08-17T11:25:45+00:00,1.0
PANINI_2023-24_MOSAIC_BLASTER,retail,awesome,2023-24 Panini Mosaic Basketball Blaster Box,,34.0,0,47.96,,,40.0,50.0,,,0,https://theawesomecardshop.com/products/2023-24-panini-mosaic-basketball-blaster-box,2026-08-17T11:25:45+00:00,1.0
PANINI_2023-24_MOSAIC_BLASTER,retail,columbia,2023/24 Panini Mosaic Basketball 6-Pack Blaster Box,,39.95,0,54.11,,,40.0,50.0,,,0,https://columbiasportscard.com/products/2023-24-panini-mosaic-basketball-6-pack-blaster-box,2026-08-17T11:25:45+00:00,1.0
PANINI_2023-24_MOSAIC_BLASTER,retail,ehcards,2023/24 Panini Mosaic Basketball 6-pack Blaster Box,,49.99,0,64.5,,,40.0,50.0,,,0,https://ehcards.com/products/2023-24-panini-nba-mosaic-basketball-6-pack-blaster-box,2026-08-17T11:25:45+00:00,1.0
PANINI_2023-24_MOSAIC_MEGA,retail,rbicru7,"2023-24 Panini Mosaic Basketball Mega, Box (Reactive Blue & Pink Fluorescent Mosaics)",,100.0,1,116.23,,,70.0,80.0,,NO_GO,0,https://rbicru7.com/products/2023-24-panini-mosaic-basketball-mega-box,2026-08-17T11:25:45+00:00,1.0
PANINI_2023-24_MOSAIC_MEGA,retail,rbicru7,"2023-24 Panini Mosaic Basketball Target Mega, Box (Reactive Yellow & Green Fluorescent)",,100.0,1,116.23,,,70.0,80.0,,,0,https://rbicru7.com/products/2023-24-panini-mosaic-basketball-target-mega-box-reactive-yellow-green-fluorescent,2026-08-17T11:25:45+00:00,1.0
PANINI_2023-24_COURT_KINGS_HOBBY,hobby,columbia,2023-24 Panini Court Kings Basketball Hobby Box,,209.99,0,230.0,,,250.0,300.0,,,0,https://columbiasportscard.com/products/2023-24-panini-court-kings-basketball-hobby-box,2026-08-17T11:25:45+00:00,1.0
PANINI_2023-24_COURT_KINGS_HOBBY,hobby,awesome,2023-24 Panini Court Kings Basketball Hobby Box,,680.75,0,716.96,,,250.0,300.0,,,0,https://theawesomecardshop.com/products/2023panini-court-kings-basketball-hobby-boxsportscards,2026-08-17T11:25:45+00:00,1.0
PANINI_2023-24_REVOLUTION_HOBBY,hobby,awesome,2023-24 Panini Revolution Basketball Hobby Box,,159.75,0,178.03,399.95,,275.0,320.0,,,0,https://theawesomecardshop.com/products/2023-24-panini-revolution-basketball-hobby-box-2,2026-08-17T11:25:45+00:00,1.0
PANINI_2023-24_OPTIC_HOBBY,hobby,awesome,2023-24 Panini Donruss Optic Basketball Hobby Box,,464.75,0,493.53,,,250.0,300.0,,,0,https://theawesomecardshop.com/products/2023-24-panini-donruss-optic-basketball-hobby-box,2026-08-17T11:25:45+00:00,1.0
PANINI_2023-24_OPTIC_HOBBY,hobby,columbia,2023-24 Panini Donruss Optic Basketball Hobby Box,,519.99,0,550.67,,,250.0,300.0,,,0,https://columbiasportscard.com/products/2023-24-panini-donruss-optic-nba-basketball-hobby-box-new-free-shipping-🔥🔥🔥,2026-08-17T11:25:45+00:00,1.0
PANINI_2023-24_SELECT_HOBBY,hobby,awesome,2023-24 Panini Select Basketball Hobby Box,,534.0,0,565.16,,,300.0,350.0,,,0,https://theawesomecardshop.com/products/2023-24-panini-select-basketball-hobby-box,2026-08-17T11:25:45+00:00,1.0
PANINI_2023-24_SELECT_HOBBY,hobby,columbia,2023-24 Panini Select Basketball Hobby Box,,544.99,0,576.53,,,300.0,350.0,,,0,https://columbiasportscard.com/products/2023-24-panini-select-basketball-hobby-box,2026-08-17T11:25:45+00:00,1.0
PANINI_2023-24_PRIZM_HOBBY,hobby,columbia,2023-24 Panini Prizm Basketball Hobby Box,,1149.0,0,1201.31,,,900.0,1000.0,,,0,https://columbiasportscard.com/products/2023-24-panini-prizm-basketball-hobby-box,2026-08-17T11:25:45+00:00,1.0
PANINI_2023-24_PRIZM_HOBBY,hobby,awesome,2023-24 Panini Prizm Basketball Hobby Box,,1275.0,0,1331.65,,,900.0,1000.0,,,0,https://theawesomecardshop.com/products/2023-24-panini-prizm-basketball-hobby-box-2,2026-08-17T11:25:45+00:00,1.0
