sku_id,tier,shop,title,variant,price_usd,in_stock,landed_eur_est_8box_bundle,market_ask_us,market_sold_us,buy_below,watch_below,eu_ref_eur,status,restock,url,seen_at,match_score
PANINI_2023-24_PHOENIX_BLASTER,retail,ehcards,2023/24 Panini Phoenix Basketball 6-pack Blaster Box,,34.99,1,48.98,34.95,28.5,27.0,31.0,49.99,NO_GO,0,https://ehcards.com/products/2023-24-panini-phoenix-basketball-6-pack-blaster-box,2026-08-17T11:00:15+00:00,1.0
PANINI_2023-24_PREMIUM_STOCK_BLASTER,retail,ehcards,2023/24 Panini Premium Stock Basketball Blaster Box,,44.99,1,59.33,34.96,,30.0,35.0,,NO_GO,0,https://ehcards.com/products/2023-24-panini-premium-stock-basketball-blaster-box,2026-08-17T11:00:15+00:00,1.0
PANINI_2023-24_PRIZM_BLASTER,retail,columbia,2023-24 Panini Prizm Basketball 6-Pack Blaster Box (Ice Prizms!),,69.95,0,85.14,119.95,,60.0,80.0,150.0,,0,https://columbiasportscard.com/products/2023-24-panini-prizm-basketball-6-pack-hobby-blaster-box-green-wave-prizms,2026-08-17T11:00:15+00:00,1.0
PANINI_2023-24_OPTIC_BLASTER,retail,ehcards,2023/24 Panini Donruss Optic Basketball 6-Pack Blaster Box,,59.99,1,74.84,,,40.0,45.0,,NO_GO,0,https://ehcards.com/products/2023-24-panini-donruss-optic-basketball-6-pack-blaster-box,2026-08-17T11:00:15+00:00,1.0
PANINI_2023-24_OPTIC_BLASTER,retail,columbia,2023-24 Panini Donruss Optic Basketball 6-Pack Blaster Box (Glitter Parallels),,49.95,0,64.46,,,40.0,45.0,,,0,https://columbiasportscard.com/products/2023-24-panini-donruss-optic-basketball-6-pack-blaster-box-glitter-parallels,2026-08-17T11:00:15+00:00,1.0
PANINI_2023-24_OPTIC_BLASTER,retail,ehcards,2023/24 Panini Donruss Optic Basketball 6-Pack Hobby Blaster Box,,54.99,0,69.67,,,40.0,45.0,,,0,https://ehcards.com/products/2023-24-donruss-optic-basketball-6-pack-hobby-blaster-box,2026-08-17T11:00:15+00:00,1.0
PANINI_2023-24_OPTIC_BLASTER,retail,columbia,2023/24 Panini Donruss Optic Basketball 6-Pack Hobby Blaster Box,,59.95,0,74.8,,,40.0,45.0,,,0,https://columbiasportscard.com/products/2023-24-panini-donruss-optic-basketball-6-pack-hobby-blaster-box,2026-08-17T11:00:15+00:00,1.0
PANINI_2023-24_OPTIC_MEGA,retail,rbicru7,"2023-24 Donruss Optic Basketball, Mega Box (Hyper Parallels)",,110.0,1,126.57,63.95,60.0,65.0,75.0,99.0,NO_GO,0,https://rbicru7.com/products/2023-24-donruss-optic-basketball-mega-box,2026-08-17T11:00:15+00:00,1.0
PANINI_2023-24_OPTIC_MEGA,retail,ehcards,2023/24 Panini Donruss Optic Basketball Mega Box (Hyper Pink),,59.99,0,74.84,63.95,60.0,65.0,75.0,99.0,,0,https://ehcards.com/products/2023-24-panini-donruss-optic-basketball-mega-box-hyper-pink,2026-08-17T11:00:15+00:00,1.0
PANINI_2023-24_OPTIC_MEGA,retail,columbia,2023-24 Panini Donruss Optic Basketball Mega Box (Hyper Pink Prizms),,64.99,0,80.01,63.95,60.0,65.0,75.0,99.0,,0,https://columbiasportscard.com/products/2023-24-panini-donruss-optic-basketball-mega-box-hyper-pink-prizms,2026-08-17T11:00:15+00:00,1.0
PANINI_2023-24_SELECT_BLASTER,retail,columbia,2023/24 Panini Select Basketball 6-Pack Blaster Box (Flash Prizms),,49.95,0,64.46,,,45.0,55.0,,,0,https://columbiasportscard.com/products/2023-24-panini-select-basketball-6-pack-blaster-box-flash-prizms-1,2026-08-17T11:00:15+00:00,1.0
PANINI_2023-24_SELECT_BLASTER,retail,columbia,2023/24 Panini Select Basketball 6-Pack Hobby Blaster Box (Green Prizms),,59.95,0,74.8,,,45.0,55.0,,,0,https://columbiasportscard.com/products/2023-24-panini-select-basketball-6-pack-blaster-box-flash-prizms,2026-08-17T11:00:15+00:00,1.0
PANINI_2023-24_SELECT_MEGA,retail,rbicru7,"2023-24 Panini Select Basketball, Mega Box (BLUE & PINK CRACKED ICE)",,110.0,1,126.57,,,90.0,100.0,134.0,NO_GO,0,https://rbicru7.com/products/2023-24-panini-select-basketball-mega-box-releases-5-17,2026-08-17T11:00:15+00:00,1.0
PANINI_2023-24_MOSAIC_BLASTER,retail,rbicru7,"2023-24 Panini Mosaic Basketball Blaster, Box",,50.0,1,64.51,,,40.0,50.0,,WATCH,0,https://rbicru7.com/products/2023-24-panini-mosaic-basketball-blaster-box,2026-08-17T11:00:15+00:00,1.0
PANINI_2023-24_MOSAIC_BLASTER,retail,columbia,2023/24 Panini Mosaic Basketball 6-Pack Blaster Box,,39.95,0,54.11,,,40.0,50.0,,,0,https://columbiasportscard.com/products/2023-24-panini-mosaic-basketball-6-pack-blaster-box,2026-08-17T11:00:15+00:00,1.0
PANINI_2023-24_MOSAIC_BLASTER,retail,ehcards,2023/24 Panini Mosaic Basketball 6-Pack Hobby Blaster Box,,44.99,0,59.33,,,40.0,50.0,,,0,https://ehcards.com/products/2023-24-panini-mosaic-basketball-6-pack-hobby-blaster-box,2026-08-17T11:00:15+00:00,1.0
PANINI_2023-24_MOSAIC_BLASTER,retail,ehcards,2023/24 Panini Mosaic Basketball 6-pack Blaster Box,,49.99,0,64.5,,,40.0,50.0,,,0,https://ehcards.com/products/2023-24-panini-nba-mosaic-basketball-6-pack-blaster-box,2026-08-17T11:00:15+00:00,1.0
PANINI_2023-24_MOSAIC_MEGA,retail,rbicru7,"2023-24 Panini Mosaic Basketball Mega, Box (Reactive Blue & Pink Fluorescent Mosaics)",,100.0,1,116.23,,,70.0,80.0,,NO_GO,0,https://rbicru7.com/products/2023-24-panini-mosaic-basketball-mega-box,2026-08-17T11:00:15+00:00,1.0
PANINI_2023-24_MOSAIC_MEGA,retail,rbicru7,"2023-24 Panini Mosaic Basketball Target Mega, Box (Reactive Yellow & Green Fluorescent)",,100.0,1,116.23,,,70.0,80.0,,,0,https://rbicru7.com/products/2023-24-panini-mosaic-basketball-target-mega-box-reactive-yellow-green-fluorescent,2026-08-17T11:00:15+00:00,1.0
PANINI_2023-24_COURT_KINGS_HOBBY,hobby,columbia,2023-24 Panini Court Kings Basketball Hobby Box,,209.99,0,230.0,,,250.0,300.0,,,0,https://columbiasportscard.com/products/2023-24-panini-court-kings-basketball-hobby-box,2026-08-17T11:00:15+00:00,1.0
PANINI_2023-24_OPTIC_HOBBY,hobby,rbicru7,"2023/24 Panini Contenders Optic Basketball Hobby, Box",,475.0,1,504.13,,,250.0,300.0,,NO_GO,0,https://rbicru7.com/products/2023-24-panini-contenders-optic-basketball-hobby-box,2026-08-17T11:00:15+00:00,1.0
PANINI_2023-24_OPTIC_HOBBY,hobby,columbia,2023/24 Panini Donruss Optic Basketball Hobby Mega Box (Hyper Green Prizms),,89.95,0,105.83,,,250.0,300.0,,,0,https://columbiasportscard.com/products/2023-24-panini-donruss-optic-basketball-hobby-mega-box-hyper-green-prizms,2026-08-17T11:00:15+00:00,1.0
PANINI_2023-24_OPTIC_HOBBY,hobby,columbia,2023-24 Panini Contenders Optic Basketball Hobby Box,,289.99,0,312.75,,,250.0,300.0,,,0,https://columbiasportscard.com/products/2023-24-panini-contenders-optic-basketball-hobby-box,2026-08-17T11:00:15+00:00,1.0
PANINI_2023-24_OPTIC_HOBBY,hobby,ehcards,2023/24 Panini Contenders Optic Basketball Hobby Box,,339.99,0,364.47,,,250.0,300.0,,,0,https://ehcards.com/products/2023-24-panini-contenders-optic-basketball-hobby-box,2026-08-17T11:00:15+00:00,1.0
PANINI_2023-24_OPTIC_HOBBY,hobby,columbia,2023-24 Panini Donruss Optic Basketball Hobby Box,,519.99,0,550.67,,,250.0,300.0,,,0,https://columbiasportscard.com/products/2023-24-panini-donruss-optic-nba-basketball-hobby-box-new-free-shipping-🔥🔥🔥,2026-08-17T11:00:15+00:00,1.0
PANINI_2023-24_OPTIC_HOBBY,hobby,columbia,2023-24 Panini Donruss Optic Basketball 1st Off The Line FOTL Hobby Box,,949.98,0,995.45,,,250.0,300.0,,,0,https://columbiasportscard.com/products/2023-24-panini-donruss-optic-fotl-nba-basketball-hobby-box-new-free-ship-🔥🔥🔥,2026-08-17T11:00:15+00:00,1.0
PANINI_2023-24_SELECT_HOBBY,hobby,columbia,2023-24 Panini Select Basketball International Hobby Box,,229.99,0,250.69,,,300.0,350.0,,,0,https://columbiasportscard.com/products/2023-24-panini-select-basketball-international-hobby-box,2026-08-17T11:00:15+00:00,1.0
PANINI_2023-24_SELECT_HOBBY,hobby,columbia,2023-24 Panini Select Basketball Hobby Box,,544.99,0,576.53,,,300.0,350.0,,,0,https://columbiasportscard.com/products/2023-24-panini-select-basketball-hobby-box,2026-08-17T11:00:15+00:00,1.0
PANINI_2023-24_PRIZM_HOBBY,hobby,columbia,2023-24 Panini Prizm Basketball International Hobby Box,,289.99,0,312.75,,,900.0,1000.0,,,0,https://columbiasportscard.com/products/2023-24-panini-prizm-basketball-international-hobby-box,2026-08-17T11:00:15+00:00,1.0
PANINI_2023-24_PRIZM_HOBBY,hobby,columbia,2023-24 Panini Prizm Deca Basketball Hobby Box,,999.99,0,1047.18,,,900.0,1000.0,,,0,https://columbiasportscard.com/products/2023-24-panini-prizm-deca-basketball-hobby-box,2026-08-17T11:00:15+00:00,1.0
PANINI_2023-24_PRIZM_HOBBY,hobby,columbia,2023-24 Panini Prizm Basketball Hobby Box,,1149.0,0,1201.31,,,900.0,1000.0,,,0,https://columbiasportscard.com/products/2023-24-panini-prizm-basketball-hobby-box,2026-08-17T11:00:15+00:00,1.0
