sku_id,sku_status,licensed,tier,shop,trust,title,variant,price_usd,boxes_per_case,unit_price_per_box,in_stock,landed_eur_est_8box_bundle,market_ask_us,market_sold_us,market_sold_source,market_sold_checked_at,buy_below,watch_below,eu_ref_eur,status,restock,url,seen_at,match_score
PANINI_2023-24_SELECT_MEGA,ACTIVE,True,retail,worldchampion,watch,2023-24 Panini Select Basketball Mega Box,,75.0,,,0,90.37,75.0,60.0,ebay_sold,2026-08-17,55.0,65.0,134.0,,0,https://www.worldchampionsportscards.org/products/2023-24-panini-select-basketball-mega-box,2026-08-18T08:42:05+00:00,1.0
PANINI_2023-24_SELECT_MEGA,ACTIVE,True,retail,ballgame,watch,2023/24 Panini Select Basketball Mega Box (Blue/Pink Cracked Ice!),,80.0,,,0,95.54,75.0,60.0,ebay_sold,2026-08-17,55.0,65.0,134.0,,0,https://theballgame.com/products/2023-24-panini-select-basketball-mega-box-blue-pink-cracked-ice,2026-08-18T08:42:05+00:00,1.0
PANINI_2023-24_SELECT_MEGA,ACTIVE,True,retail,bleecker,watch,2023-24 Select Basketball Mega Box,,90.0,,,0,105.88,75.0,60.0,ebay_sold,2026-08-17,55.0,65.0,134.0,,0,https://bleeckertrading.com/products/2023-24-select-basketball-sealed-mega-box,2026-08-18T08:42:05+00:00,1.0
PANINI_2023-24_SELECT_MEGA,ACTIVE,True,retail,awesome,trusted,2023-24 Panini Select Basketball Mega Box (Green Shock Prizms ),,109.75,,,0,126.31,75.0,60.0,ebay_sold,2026-08-17,55.0,65.0,134.0,,0,https://theawesomecardshop.com/products/2023-24-panini-select-basketball-mega-box-green-shock-prizm,2026-08-18T08:42:05+00:00,1.0
PANINI_2023-24_MOSAIC_BLASTER,ACTIVE,True,retail,rbicru7,trusted,"2023-24 Panini Mosaic Basketball Blaster, Box",,50.0,,,1,64.51,,,,,40.0,50.0,,WATCH,0,https://rbicru7.com/products/2023-24-panini-mosaic-basketball-blaster-box,2026-08-18T08:42:05+00:00,1.0
PANINI_2023-24_MOSAIC_BLASTER,ACTIVE,True,retail,superior,watch,2023-24 Panini Mosaic Basketball 6-Pack Blaster Box,,105.0,,,1,121.4,,,,,40.0,50.0,,,0,https://superiorsportsinvestments.com/products/2023-24-panini-mosaic-basketball-6-pack-blaster-box,2026-08-18T08:42:05+00:00,1.0
PANINI_2023-24_MOSAIC_BLASTER,ACTIVE,True,retail,hiddengems,trusted,2023-24 Panini NBA Mosaic Blaster Box,,19.99,,,0,33.47,,,,,40.0,50.0,,,0,https://www.hiddengemscardshop.com/products/2023-24-panini-nba-mosaic-blaster-box,2026-08-18T08:42:05+00:00,1.0
PANINI_2023-24_MOSAIC_BLASTER,ACTIVE,True,retail,awesome,trusted,2023-24 Panini Mosaic Basketball Blaster Box,,34.0,,,0,47.96,,,,,40.0,50.0,,,0,https://theawesomecardshop.com/products/2023-24-panini-mosaic-basketball-blaster-box,2026-08-18T08:42:05+00:00,1.0
PANINI_2023-24_MOSAIC_BLASTER,ACTIVE,True,retail,columbia,trusted,2023/24 Panini Mosaic Basketball 6-Pack Blaster Box,,39.95,,,0,54.11,,,,,40.0,50.0,,,0,https://columbiasportscard.com/products/2023-24-panini-mosaic-basketball-6-pack-blaster-box,2026-08-18T08:42:05+00:00,1.0
PANINI_2023-24_MOSAIC_BLASTER,ACTIVE,True,retail,monmouth,watch,2023-24 Panini Mosaic Basketball Blaster Box,,39.99,,,0,54.15,,,,,40.0,50.0,,,0,https://monmouthcards.com/products/2024-panini-mosaic-basketball-blaster,2026-08-18T08:42:05+00:00,1.0
PANINI_2023-24_MOSAIC_BLASTER,ACTIVE,True,retail,ehcards,trusted,2023/24 Panini Mosaic Basketball 6-pack Blaster Box,,49.99,,,0,64.5,,,,,40.0,50.0,,,0,https://ehcards.com/products/2023-24-panini-nba-mosaic-basketball-6-pack-blaster-box,2026-08-18T08:42:05+00:00,1.0
PANINI_2023-24_MOSAIC_MEGA,ACTIVE,True,retail,rbicru7,trusted,"2023-24 Panini Mosaic Basketball Mega, Box (Reactive Blue & Pink Fluorescent Mosaics)",,100.0,,,1,116.23,,,,,70.0,80.0,,NO_GO,0,https://rbicru7.com/products/2023-24-panini-mosaic-basketball-mega-box,2026-08-18T08:42:05+00:00,1.0
